status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
pending,Do Code Clones Matter,Elmar Juergens; Florian Deissenboeck; Benjamin Hummel; Stefan Wagner,2009,,,https://openalex.org/W3104103145,,"Code cloning is not only assumed to inflate mainte-nance costs but also considered defect-prone as inconsistent changes to code duplicates can lead to unexpected behavior. Consequently, the identification of duplicated code, clone detection, has been a very active area of research in recent years. Up to now, however, no substantial investigation of the consequences of code cloning on program correctness has been carried out. To remedy this shortcoming, this pa-per presents the results of a large-scale case study that was undertaken to find out if inconsistent changes to cloned code can indicate faults. For the analyzed commercial and open source systems we not only found that inconsistent changes to clones are very frequent but also identified a significant number of faults induced by such changes. The clone de-","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Model clone detection in practice,Florian Deissenboeck; Benjamin Hummel; Elmar Juergens; Michael Pfaehler; Bernhard Schaetz,2010,,10.1145/1808901.1808909,https://openalex.org/W2015554754,,"Cloned code is considered harmful for two reasons: (1) multiple, possibly unnecessary, duplicates of code increase maintenance costs and, (2) inconsistent changes to cloned code can create faults and, hence, lead to incorrect program behavior. Likewise, duplicated parts of models are problematic in model-based development. Recently, we and other authors proposed multiple approaches to automatically identify duplicates in graphical models. While it has been demonstrated that these approaches work in principal, a number of challenges remain for application in industrial practice. Based on an industrial case study undertaken with the BMW Group, this paper details on these challenges and presents solutions to the most pressing ones, namely scalability and relevance of the results. Moreover, we present tool support that eases the evaluation of detection results and thereby helps to make clone detection a standard technique in model-based quality assurance.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Tendermint: Byzantine Fault Tolerance in the Age of Blockchains,Ethan Buchman,2016,The Atrium (University of Guelph),,https://openalex.org/W2470694705,,"Tendermint is a new protocol for ordering events in a distributed network under adversarial conditions. More commonly known as consensus or atomic broadcast, the problem has attracted significant attention recently due to the widespread success of digital currencies, such as Bitcoin and Ethereum, which successfully solve the problem in public settings without a central authority. Tendermint modernizes classic academic work on the subject to provide a secure consensus protocol with accountability guarantees, as well as an interface for building arbitrary applications above the consensus. Tendermint is high performance, achieving thousands of transactions per second on dozens of nodes distributed around the globe, with latencies of about one second, and performance degrading moderately in the face of adversarial attacks.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Some Code Smells Have a Significant but Small Effect on Faults,Tracy Hall; Min Zhang; David Bowes; Yi Sun,2014,ACM Transactions on Software Engineering and Methodology,10.1145/2629648,https://openalex.org/W2060561050,,"We investigate the relationship between faults and five of Fowler et al.'s least-studied smells in code: Data Clumps, Switch Statements, Speculative Generality, Message Chains, and Middle Man. We developed a tool to detect these five smells in three open-source systems: Eclipse, ArgoUML, and Apache Commons. We collected fault data from the change and fault repositories of each system. We built Negative Binomial regression models to analyse the relationships between smells and faults and report the McFadden effect size of those relationships. Our results suggest that Switch Statements had no effect on faults in any of the three systems; Message Chains increased faults in two systems; Message Chains which occurred in larger files reduced faults; Data Clumps reduced faults in Apache and Eclipse but increased faults in ArgoUML; Middle Man reduced faults only in ArgoUML, and Speculative Generality reduced faults only in Eclipse. File size alone affects faults in some systems but not in all systems. Where smells did significantly affect faults, the size of that effect was small (always under 10 percent). Our findings suggest that some smells do indicate fault-prone code in some circumstances but that the effect that these smells have on faults is small. Our findings also show that smells have different effects on different systems. We conclude that arbitrary refactoring is unlikely to significantly reduce fault-proneness and in some cases may increase fault-proneness.","dblp, openalex, wos, scopus, ieee",human,,human,
kept,An empirical study on inconsistent changes to code clones at the release level,Nicolas Bettenburg; Weiyi Shang; Walid M. Ibrahim; Bram Adams; Ying Zou; Ahmed E. Hassan,2010,Science of Computer Programming,10.1016/j.scico.2010.11.010,https://openalex.org/W2067377566,supports; corroboration,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Hybrid threshold adaptable quantum secret sharing scheme with reverse Huffman-Fibonacci-tree coding,Hong Lai; Jun Zhang; Ming-Xing Luo; Lei Pan; Josef Pieprzyk; Fuyuan Xiao; Mehmet A. Orgun,2016,Scientific Reports,10.1038/srep31350,https://openalex.org/W2508570029,,"With prevalent attacks in communication, sharing a secret between communicating parties is an ongoing challenge. Moreover, it is important to integrate quantum solutions with classical secret sharing schemes with low computational cost for the real world use. This paper proposes a novel hybrid threshold adaptable quantum secret sharing scheme, using an m-bonacci orbital angular momentum (OAM) pump, Lagrange interpolation polynomials, and reverse Huffman-Fibonacci-tree coding. To be exact, we employ entangled states prepared by m-bonacci sequences to detect eavesdropping. Meanwhile, we encode m-bonacci sequences in Lagrange interpolation polynomials to generate the shares of a secret with reverse Huffman-Fibonacci-tree coding. The advantages of the proposed scheme is that it can detect eavesdropping without joint quantum operations, and permits secret sharing for an arbitrary but no less than threshold-value number of classical participants with much lower bandwidth. Also, in comparison with existing quantum secret sharing schemes, it still works when there are dynamic changes, such as the unavailability of some quantum channel, the arrival of new participants and the departure of participants. Finally, we provide security analysis of the new hybrid quantum secret sharing scheme and discuss its useful features for modern applications.","dblp, openalex, wos, scopus, ieee",human,,human,
kept,An Empirical Study of the Impacts of Clones in Software Maintenance,"Mondal, Manishankar; Rahman, Md. Saidur; Saha, Ripon K.; Roy, Chanchal K.; Krinke, Jens; Schneider, Kevin A.",2011,2011 IEEE 19TH INTERNATIONAL CONFERENCE ON PROGRAM COMPREHENSION (ICPC),10.1109/ICPC.2011.14,https://www.webofscience.com/wos/woscc/full-record/WOS:000297734300039,supports; corroboration,"The impacts of clones on software maintenance is a long-lived debate on whether clones are beneficial or not. Some researchers argue that clones lead to additional changes during the maintenance phase and thus increase the overall maintenance effort. Moreover, they note that inconsistent changes to clones may introduce faults during evolution. On the other hand, other researchers argue that cloned code exhibits more stability than non-cloned code. Studies resulting in such contradictory outcomes may be a consequence of using different methodologies, using different clone detection tools, defining different impact assessment metrics, and evaluating different subject systems. In order to understand the conflicting results from the studies, we plan to conduct a comprehensive empirical study using a common framework incorporating nine existing methods that yielded mostly contradictory findings. Our research strategy involves implementing each of these methods using four clone detection tools and evaluating the methods on more than fifteen subject systems of different languages and of a diverse nature. We believe that our study will help eliminate tool and study biases to resolve conflicts regarding the impacts of clones on software maintenance.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,An investigation of the fault-proneness of clone evolutionary patterns,"Barbour, Liliane; An, Le; Khomh, Foutse; Zou, Ying; Wang, Shaohua",2018,SOFTWARE QUALITY JOURNAL,10.1007/s11219-017-9375-5,https://www.webofscience.com/wos/woscc/full-record/WOS:000448856400001,,"Two identical or similar code fragments form a clone pair. Previous studies have identified cloning as a risky practice. Therefore, a developer needs to be aware of any clone pairs in order to properly propagate any changes between clones. A clone pair may experience many changes during the creation and maintenance of a software system. A change can either maintain or remove the similarity between clones in a clone pair. If a change maintains the similarity between clones, the clone pair is left in a consistent state. When a change makes the clones no longer similar, the clone pair is left in an inconsistent state. The set of states and changes experienced by clone pairs over time form an evolution history known as a clone genealogy. In this paper, we examine clone genealogies to identify fault-prone patterns of states and changes. We explore the use of clone genealogy information in fault prediction. We conduct a quasi-experiment with four long-lived software systems (i.e., Apache Ant, ArgoUML, JEdit, Maven) and identify clones using the NiCad and iClones clone detection tools. Overall, we find that the size of the clone can impact the fault-proneness of a clone pair. However, there is no clear impact of the time interval between changes to a clone pair on the fault-proneness of the clone pair. We also discover that adding clone genealogy information can increase the explanatory power of fault prediction models.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Building consistent transactions with inconsistent replication,Irene Zhang; Naveen Sharma; Adriana Szekeres; Arvind Krishnamurthy; Dan R. K. Ports,2015,,10.1145/2815400.2815404,https://openalex.org/W2085422792,,"Application programmers increasingly prefer distributed storage systems with strong consistency and distributed transactions (e.g., Google's Spanner) for their strong guarantees and ease of use. Unfortunately, existing transactional storage systems are expensive to use -- in part because they require costly replication protocols, like Paxos, for fault tolerance. In this paper, we present a new approach that makes transactional storage systems more affordable: we eliminate consistency from the replication protocol while still providing distributed transactions with strong consistency to applications.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Building Consistent Transactions with Inconsistent Replication,Irene Zhang; Naveen Sharma; Adriana Szekeres; Arvind Krishnamurthy; Dan R. K. Ports,2017,ACM Transactions on Computer Systems,10.1145/3269981,https://openalex.org/W2996998733,,"Application programmers increasingly prefer distributed storage systems with strong consistency and distributed transactions (e.g., Google’s Spanner) for their strong guarantees and ease of use. Unfortunately, existing transactional storage systems are expensive to use—in part, because they require costly replication protocols, like Paxos, for fault tolerance. In this article, we present a new approach that makes transactional storage systems more affordable: We eliminate consistency from the replication protocol, while still providing distributed transactions with strong consistency to applications. We present the Transactional Application Protocol for Inconsistent Replication (TAPIR), the first transaction protocol to use a novel replication protocol, called inconsistent replication , that provides fault tolerance without consistency. By enforcing strong consistency only in the transaction protocol, TAPIR can commit transactions in a single round-trip and order distributed transactions without centralized coordination. We demonstrate the use of TAPIR in a transactional key-value store, TAPIR-KV . Compared to conventional systems, TAPIR-KV provides better latency and better throughput.","dblp, openalex, wos, scopus, ieee",human,,human,
