status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
kept,LITERATE PROGRAMMING SIMPLIFIED,"RAMSEY, N",1994,IEEE SOFTWARE,,https://www.webofscience.com/wos/woscc/full-record/WOS:A1994PD79900021,attribution; primary,,wos,human,,human,
pending,phyloseq: An R Package for Reproducible Interactive Analysis and Graphics of Microbiome Census Data,Paul J. McMurdie; Susan Holmes,2013,PLoS ONE,10.1371/journal.pone.0061217,https://openalex.org/W2056279562,,"BACKGROUND: the analysis of microbial communities through dna sequencing brings many challenges: the integration of different types of data with methods from ecology, genetics, phylogenetics, multivariate statistics, visualization and testing. With the increased breadth of experimental designs now being pursued, project-specific statistical analyses are often needed, and these analyses are often difficult (or impossible) for peer researchers to independently reproduce. The vast majority of the requisite tools for performing these analyses reproducibly are already implemented in R and its extensions (packages), but with limited support for high throughput microbiome census data. RESULTS: Here we describe a software project, phyloseq, dedicated to the object-oriented representation and analysis of microbiome census data in R. It supports importing data from a variety of common formats, as well as many analysis techniques. These include calibration, filtering, subsetting, agglomeration, multi-table comparisons, diversity analysis, parallelized Fast UniFrac, ordination methods, and production of publication-quality graphics; all in a manner that is easy to document, share, and modify. We show how to apply functions from other R packages to phyloseq-represented data, illustrating the availability of a large number of open source analysis techniques. We discuss the use of phyloseq with tools for reproducible research, a practice common in other fields but still rare in the analysis of highly parallel microbiome census data. We have made available all of the materials necessary to completely reproduce the analysis and figures included in this article, an example of best practices for reproducible research. CONCLUSIONS: The phyloseq project for R is a new open-source software package, freely available on the web from both GitHub and Bioconductor.","dblp, openalex, ieee, scopus",human,,human,
pending,limma powers differential expression analyses for RNA-sequencing and microarray studies,Matthew E. Ritchie; Belinda Phipson; Di Wu; Yifang Hu; Charity W. Law; Wei Shi; Gordon K. Smyth,2015,Nucleic Acids Research,10.1093/nar/gkv007,https://openalex.org/W2146512944,,"limma is an R/Bioconductor software package that provides an integrated solution for analysing data from gene expression experiments. It contains rich features for handling complex experimental designs and for information borrowing to overcome the problem of small sample sizes. Over the past decade, limma has been a popular choice for gene discovery through differential expression analyses of microarray and high-throughput PCR data. The package contains particularly strong facilities for reading, normalizing and exploring such data. Recently, the capabilities of limma have been significantly expanded in two important directions. First, the package can now perform both differential expression and differential splicing analyses of RNA sequencing (RNA-seq) data. All the downstream analysis tools previously restricted to microarray data are now available for RNA-seq as well. These capabilities allow users to analyse both RNA-seq and microarray data with very similar pipelines. Second, the package is now able to go past the traditional gene-wise expression analyses in a variety of ways, analysing expression profiles in terms of co-regulated sets of genes or in terms of higher-order expression signatures. This provides enhanced possibilities for biological interpretation of gene expression differences. This article reviews the philosophy and design of the limma package, summarizing both new and historical features, with an emphasis on recent enhancements and features that have not been previously described.","dblp, openalex, ieee, scopus",human,,human,
pending,Words as Tools: Learning Academic Vocabulary as Language Acquisition,William E. Nagy; Dianna Townsend,2012,Reading Research Quarterly,10.1002/rrq.011,https://openalex.org/W2102866687,,"Abstract There is a growing awareness of the importance of academic vocabulary, and more generally, of academic language proficiency, for students’ success in school. There is also a growing body of research on the nature of the demands that academic language places on readers and writers, and on interventions to help students meet these demands. In this review, we discuss the role of academic vocabulary within academic language, examine recent research on instruction in academic vocabulary, considering both general academic words and discipline‐specific words, and offer our perspective on the current state of this research and recommendations on how to continue inquiry and to improve practice in this area. We use the metaphor of ‘words as tools’ to reflect our understanding that instruction in academic vocabulary must approach words as means for communicating and thinking about disciplinary content, and must therefore provide students with opportunities to use the instructed words for these purposes as they are learning them.","dblp, openalex, ieee, scopus",human,,human,
pending,Identity and Language Learning,Bonny Norton,2013,Multilingual Matters eBooks,10.21832/9781783090563,https://openalex.org/W230660992,,"This second edition of Norton’s classic text on language learning and identity will bring her ground-breaking ideas to a new generation of students, teachers and researchers. Featuring a comprehensive Introduction and an Afterword by Claire Kramsch, this new edition integrates research, theory and classroom practice.","dblp, openalex, ieee, scopus",human,,human,
pending,How Financially Literate Are Women? An Overview and New Insights,Tabea Bucher‐Koenen; Annamaria Lusardi; Rob Alessie; Maarten van Rooij,2016,Journal of Consumer Affairs,10.1111/joca.12121,https://openalex.org/W1485876187,,"We document strikingly similar gender differences in financial literacy across countries. When asked to answer questions that measure knowledge of basic financial concepts, women are less likely than men to answer correctly and more likely to indicate that they do not know the answer. Both young and old women show low levels of financial literacy. Moreover, women for whom financial knowledge is likely to be very important—for example widows or single women—also know little about concepts relevant for day‐to‐day financial decisions. The gender differences are present for very basic as well as more advanced measures of financial literacy. This is important because financial literacy has been linked to economic behavior, including retirement planning and wealth accumulation. Women live longer than men and are likely to spend time in widowhood. Thus, improving women's financial literacy is key to helping them prepare for retirement and promoting their financial security.","dblp, openalex, ieee, scopus",human,,human,
pending,"Identity, language learning, and social change",Bonny Norton; Kelleen Toohey,2011,Language Teaching,10.1017/s0261444811000309,https://openalex.org/W1966772633,,"In this review article on identity, language learning, and social change, we argue that contemporary poststructuralist theories of language, identity, and power offer new perspectives on language learning and teaching, and have been of considerable interest in our field. We first review poststructuralist theories of language, subjectivity, and positioning and explain sociocultural theories of language learning. We then discuss constructs of investment and imagined communities/imagined identities (Norton Peirce 1995; Norton 1997, 2000, 2001), showing how these have been used by diverse identity researchers. Illustrative examples of studies that investigate how identity categories like race, gender, and sexuality interact with language learning are discussed. Common qualitative research methods used in studies of identity and language learning are presented, and we review the research on identity and language teaching in different regions of the world. We examine how digital technologies may be affecting language learners' identities, and how learner resistance impacts language learning. Recent critiques of research on identity and language learning are explored, and we consider directions for research in an era of increasing globalization. We anticipate that the identities and investments of language learners, as well as their teachers, will continue to generate exciting and innovative research in the future.","dblp, openalex, ieee, scopus",human,,human,
pending,VAMP: A tool for literate programming independent of programming language and formatter,E.W. van Ammers; Mark R. Kramer,2003,CompEuro 1992 Proceedings Computer Systems and Software Engineering,10.1109/cmpeur.1992.218405,https://openalex.org/W2162246473,,"The authors have developed a module extractor called VAMP, that cooperates with a standard formatter. They describe the VAMP approach to literate programming. Literate programming identifies a method of documentation which explains to people what a computer is supposed to do. Generally, this means that refinement steps are documented in such a way that modules can be extracted from the documentation files. The tool has been in use since 1982. The experiences are predominantly positive, in spite of the overhead implicit in the methodology. The fact that VAMP is independent of both programming language and formatter distinguishes it from WEB and its derivatives.>","dblp, openalex, ieee, scopus",human,,human,
pending,Bioconductor: open software development for computational biology and bioinformatics,Robert Gentleman; Vincent J. Carey; Douglas M. Bates; Ben Bolstad; Marcel Dettling; Sandrine Dudoit; Byron Ellis; Laurent Gautier; Yongchao Ge; Jeff Gentry; Kurt Hornik; Torsten Hothorn; Wolfgang Huber; Stefano M. Iacus; Rafael A. Irizarry; Friedrich Leisch; Cheng Li; Martin Maechler; Anthony Rossini; Günther Sawitzki; Colin A. Smith; Gordon K. Smyth; Luke Tierney; Jean Yang; Jianhua Zhang,2004,Genome biology,10.1186/gb-2004-5-10-r80,https://openalex.org/W2160697532,,"The Bioconductor project is an initiative for the collaborative creation of extensible software for computational biology and bioinformatics. The goals of the project include: fostering collaborative development and widespread use of innovative software, reducing barriers to entry into interdisciplinary scientific research, and promoting the achievement of remote reproducibility of research results. We describe details of our aims and methods, identify current challenges, compare Bioconductor to other open bioinformatics projects, and provide working examples.","dblp, openalex, ieee, scopus",human,,human,
pending,The Critical Role of Vocabulary Development for English Language Learners,Diane August; María S. Carlo; Cheryl Dressler; Catherine E. Snow,2005,Learning Disabilities Research and Practice,10.1111/j.1540-5826.2005.00120.x,https://openalex.org/W2029196932,,"English language learners (ELLs) who experience slow vocabulary development are less able to comprehend text at grade level than their English-only peers. Such students are likely to perform poorly on assessments in these areas and are at risk of being diagnosed as learning disabled. In this article, we review the research on methods to develop the vocabulary knowledge of ELLs and present lessons learned from the research concerning effective instructional practices for ELLs. The review suggests that several strategies are especially valuable for ELLs, including taking advantage of students' first language if the language shares cognates with English; ensuring that ELLs know the meaning of basic words, and providing sufficient review and reinforcement. Finally, we discuss challenges in designing effective vocabulary instruction for ELLs. Important issues are determining which words to teach, taking into account the large deficits in second-language vocabulary of ELLs, and working with the limited time that is typically available for direct instruction in vocabulary.","dblp, openalex, ieee, scopus",human,,human,
