status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
discarded,Findings from a survey on the current use of daylight simulations in building design,"Reinhart, Christoph; Fitz, Annegret",2006,ENERGY AND BUILDINGS,10.1016/j.enbuild.2006.03.012,https://www.webofscience.com/wos/woscc/full-record/WOS:000237915300011,off-topic-false-hit,"This paper presents findings from a web-based survey on the current use of daylight simulations in building design. The survey was administered from December 2nd 2003 to January 19th 2004. One hundred and eighty five individuals from 27 countries completed the survey. The majority of respondents worked in Canada (20%), the United States (20%), and Germany (12%). Most participants were recruited through building simulation mailing lists. Their self-reported professions ranged from energy consultants and engineers (38%) to architects and lighting designers (31%) as well as researchers (23%). They worked predominantly on large and small offices and schools.

Ninety one percent of respondents included daylighting aspects in their building design. Those who did not consider daylighting blamed lack of information and unwillingness of clients to pay for this extra service. Among those participants who were considering daylighting 79% used computer simulations. This strong sample bias towards computer simulations reflects that many participants had been recruited through building simulation mailing lists. Participants named tools' complexity and insufficient program documentation as weaknesses of existing programs. Selftraining was the most common training method for daylight simulation tools. Tool usage was significantly higher during design development than during schematic design. Most survey participants used daylighting software for parameter studies and presented the results to their clients as a basis for design decisions.

While daylight factor and interior illuminances were the most commonly calculated simulation outputs, shading type and control were the most common design aspects influenced by a daylighting analysis. The use of scale model measurements had rapidly fallen compared to a 1994 survey, whereas, trust in the reliability of daylighting tools has risen. While participants named a total of 42 different daylight simulation programs that they routinely used, over 50% of program selections were for tools that use the RADIANCE simulation engine, revealing the program's predominance within the daylight simulation community. Crown Copyright (c) 2006 Published by Elsevier B.V. All rights reserved.",wos,llm,0.990,unreviewed,
discarded,Towards a Universal Service Description Language,"Simon, L; Bansal, A; Mallya, A; Kona, S; Gupta, G; Hite, TD",2005,International Conference on Next Generation Web Services Practices,,https://www.webofscience.com/wos/woscc/full-record/WOS:000234641600027,off-topic-false-hit,"To fully utilize web-services, users and applications should be able to discover, deploy, compose and synthesize services automatically. This automation can take place only if a formal semantic description of the webservices is available. In this paper we present the design of USDL (Universal Service Description Language), a language for formally describing the semantics of information utilized and produced by web-services. USDL is based on the Web Ontology Language (OWL) and employs WordNet as a common basis for understanding the meaning of services. USDL can be regarded as formal program documentation that will allow sophisticated conceptual modeling and searching of available web-services, automated service composition, and other forms of automated service integration. The preliminary design of USDL is presented, along with examples, and its formal semantics given.",wos,llm,0.980,unreviewed,
discarded,Variorum: A multimedia-based program documentation system,"Chiueh, T; Wu, W; Lam, LC",2000,"2000 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO, PROCEEDINGS VOLS I-III",,https://www.webofscience.com/wos/woscc/full-record/WOS:000165243200036,adjacent-subtopic,"Conventional software documentation systems are mostly based on textual descriptions that explain or annotate the program's source code. Because these systems rely solely on texts, it is difficult for program authors to describe overall algorithm structures and detailed implementation techniques of the programs, especially those that require visual presentation. Variorum is one of the first, if not the first, software documentation systems that allows Program authors to record the process of ""walking through"" their own code using multimedia technology, specifically, text, audio, and digital pen drawing. This approach greatly improves the interactivity and flexibility in the software documentation process, as well as the quality of resulting software implementation documentations. In addition, to broaden its applicability and to reduce the implementation complexity, Variorum is designed to inter-operate with the WWW technology, in that the program source code files and their annotations are stored on web servers and directly accessible via commercial web browsers. This paper describes the design and implementation of Varionum, as well as the results of a preliminary usability study with the current prototype.",wos,llm,0.870,unreviewed,
discarded,Did We Practice what We Preached?,"Hothorn, Torsten",2025,AUSTRIAN JOURNAL OF STATISTICS,10.17713/ajs.v54i3.2068,https://www.webofscience.com/wos/woscc/full-record/WOS:001482984400005,adjacent-subtopic,"Reproducibility of statistical simulations is crucial but proved being a challenge in its own right. Recently, lack of reproducibility of important simulation studies stimulated developments of reporting guidelines and specific protocols trying to improve on this situation. The problem, of course, is not new and issues regarding reproducibility of numerical results, for example statistical analyses or simulations, have long been known. Documented lack of progress regarding reproducibility in the past decade naturally leads to the question if problem awareness was not powerful enough to lead to improved reproducibility. As a benchmark case, I tried to reproduce a simulation study in a so far unpublished manuscript by Fritz Leisch and myself. The results show that, time and again, the devil is in the details and much self-discipline and extensive record-keeping and documentation are mission critical.",wos,llm,0.750,unreviewed,
discarded,Reproducibility in the Classroom,"Dogucu, Mine",2025,ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION,10.1146/annurev-statistics-112723-034436,https://www.webofscience.com/wos/woscc/full-record/WOS:001460657400005,adjacent-subtopic,"Difficulties in reproducing results from scientific studies have lately been referred to as a reproducibility crisis. Scientific practice depends heavily on scientific training. What gets taught in the classroom is often practiced in labs, fieldwork, and data analysis. The importance of reproducibility in the classroom has gained momentum in statistics education in recent years. In this article, we review the existing literature on reproducibility education. We delve into the relationship between computing tools and reproducibility through visiting historical developments in this area. We share examples for teaching reproducibility and reproducible teaching while discussing the pedagogical opportunities created by these examples as well as challenges that the instructors should be aware of. We detail the use of teaching reproducibility and reproducible teaching practices in an introductory data science course. Lastly, we provide recommendations on reproducibility education for instructors, administrators, and other members of the scientific community.",wos,llm,0.730,unreviewed,
kept,Making Reproducible Research Simple Using RMarkdown and the OSF,"Valdez, Andre Calero",2020,"SOCIAL COMPUTING AND SOCIAL MEDIA. DESIGN, ETHICS, USER BEHAVIOR, AND SOCIAL NETWORK ANALYSIS, SCSM 2020, PT I",10.1007/978-3-030-49570-1_3,https://www.webofscience.com/wos/woscc/full-record/WOS:001297923200003,supports-claim,"The replication crisis has further eroded the public's trust in science. Many famous studies, even published in renowned journals, fail to produce the same results when replicated by other researchers. While this is the outcome of several problems in research, one aspect has gotten critical attention-reproducibility. The term reproducible research refers to studies that contain all materials necessary to reproduce the scientific results by other researchers. This allows others to identify flaws in calculations and improve scientific rigor. In this paper, we show a workflow for reproducible research using the R language and a set of additional packages and tools that simplify a reproducible research procedure.",wos,llm,0.940,unreviewed,
kept,Catala: Moving towards the future of legal expert systems,"Huttner, Liane; Merigoux, Denis",2022,ARTIFICIAL INTELLIGENCE AND LAW,10.1007/s10506-022-09328-5,https://www.webofscience.com/wos/woscc/full-record/WOS:000844469800001,adjacent-subtopic,"Around the world, private and public organizations use software called legal expert systems to compute taxes. This software must comply with the laws they are designed to implement. As such, a bug or an error in a program that leads to tax miscalculations can have heavy legal and democratic consequences. However, increasing evidence suggests that some legal expert systems may not comply with the law. Moreover, traditional software development processes mean that legal expert systems are difficult to adapt to the continuous flow of new legislation. To prevent further software decay and to reconcile these systems with the growing demand for algorithmic transparency, we argue that there is a need for a new development process for legal expert systems. This new system must be built to comply with the law, in particular the GDPR. It must also respect democratic transparency. For these reasons, we present a solution built by lawyers and computer scientists: Catala, a new programming language coupled with a pair programming development process.",wos,llm,0.830,unreviewed,
kept,Reproducible Research and Low-Cost Project Switching Via Literate Programming and Digital Logging,"Zhang, D.; Liu, X.; Duan, X.; Rong, J.; Bankier, A.; Palmer, M.",2019,MEDICAL PHYSICS,,https://www.webofscience.com/wos/woscc/full-record/WOS:000471277704284,supports-claim,,wos,llm,0.820,unreviewed,
kept,Literate data analysis with Stata and Markdown,"Rodriguez, German",2017,STATA JOURNAL,,https://www.webofscience.com/wos/woscc/full-record/WOS:000440956700004,supports-claim,"In this article, I introduce markstat, a command for combining Stata code and output with comments and annotations written in Markdown into a beautiful webpage or PDF file, thus encouraging literate programming and reproducible research. The command tangles the input separating Stata and Markdown code, runs the Stata code, relies on Pandoc to process the Markdown code, and then weaves the outputs into a single file. HTML documents may include inline and display math using MathJax. Generating PDF output requires access to LATEX and a style file from Stata but works with the same input file.",wos,llm,0.990,unreviewed,
discarded,Data science vs. statistics: two cultures?,"Carmichael, Iain; Marron, J. S.",2018,JAPANESE JOURNAL OF STATISTICS AND DATA SCIENCE,10.1007/s42081-018-0009-3,https://www.webofscience.com/wos/woscc/full-record/WOS:000655501800009,adjacent-subtopic,"Data science is the business of learning from data, which is traditionally the business of statistics. Data science, however, is often understood as a broader, task-driven and computationally-oriented version of statistics. Both the term data science and the broader idea it conveys have origins in statistics and are a reaction to a narrower view of data analysis. Expanding upon the views of a number of statisticians, this paper encourages a big-tent view of data analysis. We examine how evolving approaches to modern data analysis relate to the existing discipline of statistics (e.g. exploratory analysis, machine learning, reproducibility, computation, communication and the role of theory). Finally, we discuss what these trends mean for the future of statistics by highlighting promising directions for communication, education and research.",wos,llm,0.840,unreviewed,
kept,"A tool for publishing reproducible algorithms & A reproducible, elegant algorithm for sequential experiments","Thimbleby, Harold; Williams, David",2018,SCIENCE OF COMPUTER PROGRAMMING,10.1016/j.scico.2017.12.010,https://www.webofscience.com/wos/woscc/full-record/WOS:000428486100003,supports-claim,"Tools to ease the burden of reproducibility are important so computer science does not fall into the trap of ""cargo cult"" science: particularly publishing discussions of algorithms that look like algorithms but which do not work properly when they are copied from the paper. This paper introduces a tool, called relit, which makes it very easy to write about and publish correct algorithms, yet without restricting the author's style. In fact, relit can be used with any material: mathematics, proofs, algorithms or programs. It can be used in papers, in reports and books and, with analogous advantages, in student work where examiners may wish to automatically check what the student claims to have written is actually correct.

To demonstrate relit, this paper presents a new, elegant algorithm for the design of sequential experiments to efficiently control bias, drift, random error, carry-over and other effects. The algorithm is written in C, in a clear style to simplify porting to other languages.

We developed relit because it was impossible to find simple reproducible code for this problem, and we wanted to do better. Thanks to relit, the published algorithm is reproducible and works exactly as published in the present paper. This paper also includes discussion of the problems and opportunities of reproducibility and the essential contributions of relit-style approaches to improving the reliability of computer science publications. (C) 2017 Published by Elsevier B.V.",wos,llm,0.940,unreviewed,
